size,seed,role,algo,repeat,ok,error,time_ns,tracemalloc_peak_bytes,rss_delta_bytes,ascii_h,ascii_w,wall_count,corridor_count,path_length,explored_count,visited_count,other_count
5,2,solver,Backtracking,2,1,,362500,15876,0,11,11,70,51,23,28,51,0
5,3,solver,Backtracking,3,1,,345100,15868,0,11,11,70,51,23,28,51,0
5,4,solver,Backtracking,4,1,,377800,15852,0,11,11,70,51,23,28,51,0
5,5,solver,Backtracking,5,1,,357100,15844,0,11,11,70,51,23,28,51,0
5,1,solver,AStar,1,1,,193300,12268,0,11,11,70,51,23,2,25,0
5,2,solver,AStar,2,1,,193500,12260,0,11,11,70,51,23,2,25,0
5,3,solver,AStar,3,1,,190100,12252,0,11,11,70,51,23,2,25,0
5,4,solver,AStar,4,1,,188700,12236,0,11,11,70,51,23,2,25,0
5,5,solver,AStar,5,1,,180400,12228,0,11,11,70,51,23,2,25,0
6,1,generator,Backtracking,1,1,,557000,7447,0,13,13,96,73,0,0,0,0
6,2,generator,Backtracking,2,1,,555800,7223,0,13,13,96,73,0,0,0,0
6,3,generator,Backtracking,3,1,,551600,7839,0,13,13,96,73,0,0,0,0
6,4,generator,Backtracking,4,1,,559000,7447,0,13,13,96,73,0,0,0,0
6,5,generator,Backtracking,5,1,,572000,7727,0,13,13,96,73,0,0,0,0
6,1,generator,Kruskal,1,1,,286100,15868,4096,13,13,96,73,0,0,0,0
6,2,generator,Kruskal,2,1,,268900,15852,0,13,13,96,73,0,0,0,0
6,3,generator,Kruskal,3,1,,282200,15852,0,13,13,96,73,0,0,0,0
6,4,generator,Kruskal,4,1,,286000,15852,0,13,13,96,73,0,0,0,0
6,5,generator,Kruskal,5,1,,525700,15852,0,13,13,96,73,0,0,0,0
6,1,solver,Backtracking,1,1,,532500,19580,4096,13,13,96,73,23,50,73,0
6,2,solver,Backtracking,2,1,,505800,19572,4096,13,13,96,73,23,50,73,0
6,3,solver,Backtracking,3,1,,576500,19564,0,13,13,96,73,23,50,73,0
6,4,solver,Backtracking,4,1,,484500,19556,0,13,13,96,73,23,50,73,0
6,5,solver,Backtracking,5,1,,478100,19556,0,13,13,96,73,23,50,73,0
6,1,solver,AStar,1,1,,190300,13212,0,13,13,96,73,23,0,23,0
6,2,solver,AStar,2,1,,182300,13204,0,13,13,96,73,23,0,23,0
6,3,solver,AStar,3,1,,191100,13196,0,13,13,96,73,23,0,23,0
6,4,solver,AStar,4,1,,203000,13188,0,13,13,96,73,23,0,23,0
6,5,solver,AStar,5,1,,187600,13188,0,13,13,96,73,23,0,23,0
7,1,generator,Backtracking,1,1,,764900,8780,0,15,15,126,99,0,0,0,0
7,2,generator,Backtracking,2,1,,726100,8100,0,15,15,126,99,0,0,0,0
7,3,generator,Backtracking,3,1,,727100,8724,0,15,15,126,99,0,0,0,0
7,4,generator,Backtracking,4,1,,733000,8156,0,15,15,126,99,0,0,0,0
7,5,generator,Backtracking,5,1,,721400,8556,0,15,15,126,99,0,0,0,0
7,1,generator,Kruskal,1,1,,372100,20692,4096,15,15,126,99,0,0,0,0
7,2,generator,Kruskal,2,1,,352600,20692,4096,15,15,126,99,0,0,0,0
7,3,generator,Kruskal,3,1,,375800,20692,0,15,15,126,99,0,0,0,0
7,4,generator,Kruskal,4,1,,352100,20692,0,15,15,126,99,0,0,0,0
7,5,generator,Kruskal,5,1,,341100,20692,0,15,15,126,99,0,0,0,0
7,1,solver,Backtracking,1,1,,638900,27260,4096,15,15,126,99,39,60,99,0
7,2,solver,Backtracking,2,1,,641600,27260,0,15,15,126,99,39,60,99,0
7,3,solver,Backtracking,3,1,,644400,27260,0,15,15,126,99,39,60,99,0
7,4,solver,Backtracking,4,1,,652600,27260,0,15,15,126,99,39,60,99,0
7,5,solver,Backtracking,5,1,,690400,27260,0,15,15,126,99,39,60,99,0
7,1,solver,AStar,1,1,,288800,14916,0,15,15,126,99,39,0,39,0
7,2,solver,AStar,2,1,,297600,14916,0,15,15,126,99,39,0,39,0
7,3,solver,AStar,3,1,,321700,14916,0,15,15,126,99,39,0,39,0
7,4,solver,AStar,4,1,,299700,14916,0,15,15,126,99,39,0,39,0
7,5,solver,AStar,5,1,,289800,14916,0,15,15,126,99,39,0,39,0
8,1,generator,Backtracking,1,1,,954600,11132,4096,17,17,160,129,0,0,0,0
8,2,generator,Backtracking,2,1,,954100,10796,4096,17,17,160,129,0,0,0,0
8,3,generator,Backtracking,3,1,,953400,11076,0,17,17,160,129,0,0,0,0
8,4,generator,Backtracking,4,1,,961000,10308,0,17,17,160,129,0,0,0,0
8,5,generator,Backtracking,5,1,,951000,10476,0,17,17,160,129,0,0,0,0
8,1,generator,Kruskal,1,1,,493100,27436,4096,17,17,160,129,0,0,0,0
8,2,generator,Kruskal,2,1,,470100,27436,0,17,17,160,129,0,0,0,0
8,3,generator,Kruskal,3,1,,440200,27436,0,17,17,160,129,0,0,0,0
8,4,generator,Kruskal,4,1,,473700,27436,0,17,17,160,129,0,0,0,0
8,5,generator,Kruskal,5,1,,455900,27436,0,17,17,160,129,0,0,0,0
8,1,solver,Backtracking,1,1,,814700,31996,4096,17,17,160,129,51,78,129,0
8,2,solver,Backtracking,2,1,,817600,31996,4096,17,17,160,129,51,78,129,0
8,3,solver,Backtracking,3,1,,855600,31996,0,17,17,160,129,51,78,129,0
8,4,solver,Backtracking,4,1,,838800,31996,0,17,17,160,129,51,78,129,0
